Date of Cohort,Average juvenile length,Average juvenile area,Number of Shells in Cohort,Average pH,Average Temperature
02/23/16,2.5505,3.256,31,7.93905,10.17966
02/23/16,3.2475,5.6015,31,7.93905,10.17966
02/23/16,5.078,12.9215,31,7.93905,10.17966
02/23/16,2.4315,3.356,31,7.93905,10.17966
02/23/16,3.006,4.9345,31,7.93905,10.17966
02/23/16,0.9635,0.503,31,7.93905,10.17966
02/23/16,1.8995,1.823,31,7.93905,10.17966
02/23/16,0.882,0.4155,31,7.93905,10.17966
02/23/16,0.7625,0.309,31,7.93905,10.17966
02/23/16,0.917,0.449,31,7.93905,10.17966
02/23/16,0.7875,0.3375,31,7.93905,10.17966
02/23/16,1.667,1.445,31,7.93905,10.17966
02/23/16,5.973,18.086,31,7.93905,10.17966
02/23/16,1.7015,1.456,31,7.93905,10.17966
02/23/16,1.045,0.6105,31,7.93905,10.17966
02/23/16,0.757,0.323,31,7.93905,10.17966
03/08/16,2.09,2.109,31,7.85640,9.99539
03/08/16,2.0555,2.2565,31,7.85640,9.99539
03/08/16,1.396,1.0315,31,7.85640,9.99539
03/08/16,1.279,0.88,31,7.85640,9.99539
03/08/16,1.707,1.5035,31,7.85640,9.99539
03/08/16,1.7115,1.668,31,7.85640,9.99539
03/08/16,1.593,1.327,31,7.85640,9.99539
03/08/16,1.2785,0.862,31,7.85640,9.99539
03/08/16,1.2895,0.8325,31,7.85640,9.99539
03/08/16,2.2295,2.549,31,7.85640,9.99539
03/08/16,1.269,0.82,31,7.85640,9.99539
03/08/16,0.837,0.3925,31,7.85640,9.99539
03/08/16,2.349,2.788,31,7.85640,9.99539
03/08/16,1.515,1.2215,31,7.85640,9.99539
03/08/16,1.499,1.159,31,7.85640,9.99539
03/08/16,1.908,1.8525,31,7.85640,9.99539
03/08/16,1.365,0.97,31,7.85640,9.99539
03/08/16,0.8415,0.402,31,7.85640,9.99539
03/08/16,2.681,3.7585,31,7.85640,9.99539
03/08/16,0.9935,0.5215,31,7.85640,9.99539
03/08/16,1.136,0.6945,31,7.85640,9.99539
03/08/16,5.857,17.701,31,7.85640,9.99539
03/08/16,0.7755,0.3275,31,7.85640,9.99539
03/08/16,0.7795,0.3335,31,7.85640,9.99539
03/08/16,1.743,1.6015,31,7.85640,9.99539
03/08/16,0.7575,0.31,31,7.85640,9.99539
03/08/16,2.3985,2.851,31,7.85640,9.99539
03/08/16,0.737,0.306,31,7.85640,9.99539
03/08/16,2.8305,4.0495,31,7.85640,9.99539
03/08/16,1.412,1.0185,31,7.85640,9.99539
03/08/16,2.1225,2.366,31,7.85640,9.99539
03/29/16,0.9725,0.5425,11,7.92566,10.91641
03/29/16,0.6075,0.206,11,7.92566,10.91641
03/29/16,2.293,2.6685,11,7.92566,10.91641
03/29/16,0.8135,0.381,11,7.92566,10.91641
03/29/16,1.425,1.028,11,7.92566,10.91641
03/29/16,1.618,1.2855,11,7.92566,10.91641
03/29/16,3.316,5.539,11,7.92566,10.91641
03/29/16,0.8445,0.396,11,7.92566,10.91641
03/29/16,1.354,0.9415,11,7.92566,10.91641
03/29/16,1.2345,0.799,11,7.92566,10.91641
03/29/16,0.8275,0.372,11,7.92566,10.91641
04/12/16,2.9625,4.673,11,8.00515,11.95876
04/12/16,1.088,0.6055,11,8.00515,11.95876
04/12/16,2.115,2.2925,11,8.00515,11.95876
04/12/16,0.8015,0.355,11,8.00515,11.95876
04/12/16,1.4965,1.136,11,8.00515,11.95876
04/12/16,1.6795,1.4815,11,8.00515,11.95876
04/12/16,2.0285,2.1335,11,8.00515,11.95876
04/12/16,0.923,0.447,11,8.00515,11.95876
04/12/16,0.748,0.309,11,8.00515,11.95876
04/12/16,0.882,0.385,11,8.00515,11.95876
04/12/16,1.343,0.889,11,8.00515,11.95876
05/06/16,1.156,0.7165,7,7.83915,10.18026
05/06/16,2.2115,2.4485,7,7.83915,10.18026
05/06/16,1.5265,1.2005,7,7.83915,10.18026
05/06/16,1.3105,0.9655,7,7.83915,10.18026
05/06/16,3.7695,7.2965,7,7.83915,10.18026
05/06/16,1.904,1.8885,7,7.83915,10.18026
05/06/16,1.0565,0.576,7,7.83915,10.18026
05/25/16,1.5395,1.2765,6,7.95928,9.53698
05/25/16,1.4465,1.071,6,7.95928,9.53698
05/25/16,1.07,0.6105,6,7.95928,9.53698
05/25/16,2.695,3.5115,6,7.95928,9.53698
05/25/16,3.89,7.594,6,7.95928,9.53698
05/25/16,1.5075,1.122,6,7.95928,9.53698
06/07/16,2.059,2.1375,2,7.91526,10.19662
06/07/16,1.304,0.9055,2,7.91526,10.19662
06/24/16,0.9935,0.5155,3,7.98440,11.59931
06/24/16,1.405,1.0535,3,7.98440,11.59931
06/24/16,1.896,2.001,3,7.98440,11.59931
07/07/16,3.123,4.4,6,7.91937,11.60170
07/07/16,1.035,0.5685,6,7.91937,11.60170
07/07/16,3.177,5.1915,6,7.91937,11.60170
07/07/16,1.2565,0.8415,6,7.91937,11.60170
07/07/16,1.1145,0.623,6,7.91937,11.60170
07/07/16,1.3865,1.039,6,7.91937,11.60170
08/03/16,2.4815,3.2485,7,7.94790,11.73113
08/03/16,1.632,1.42,7,7.94790,11.73113
08/03/16,1.1985,0.748,7,7.94790,11.73113
08/03/16,1.8455,1.7475,7,7.94790,11.73113
08/03/16,1.0515,0.6755,7,7.94790,11.73113
08/03/16,1.787,1.611,7,7.94790,11.73113
08/03/16,0.966,0.513,7,7.94790,11.73113
7/18/2015,1.3325,0.9445,4,7.930,7.930
7/18/2015,2.471,3.2755,4,7.930,7.930
7/18/2015,1.2235,0.7635,4,7.930,7.930
7/18/2015,2.4065,2.939,4,7.930,7.930
8/3/2015,1.0355,0.53,6,7.893,14.95
8/3/2015,1.3335,0.9095,6,7.893,14.95
8/3/2015,1.398,0.92,6,7.893,14.95
8/3/2015,1.572,1.361,6,7.893,14.95
8/3/2015,1.5725,0.668,6,7.893,14.95
8/3/2015,3.513,5.6015,6,7.893,14.95
